timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712864285,True,success,2.61,435954609.2307692,457879552.0,670810112,0,/experiments/comparison/deepinfer/1/BM2/implications.csv,deepinfer,trustbench,BM,BM2,infer
1712864288,True,success,2.61,437662326.1538461,456577024.0,678195200,0,/experiments/comparison/deepinfer/1/BM11/implications.csv,deepinfer,trustbench,BM,BM11,infer
1712864291,True,success,2.62,443537565.5384616,462831616.0,683872256,0,/experiments/comparison/deepinfer/1/BM3/implications.csv,deepinfer,trustbench,BM,BM3,infer
1712864293,True,success,2.62,444653883.0769231,466710528.0,679354368,0,/experiments/comparison/deepinfer/1/BM5/implications.csv,deepinfer,trustbench,BM,BM5,infer
1712864296,True,success,2.62,442246380.3076923,462569472.0,681984000,0,/experiments/comparison/deepinfer/1/BM12/implications.csv,deepinfer,trustbench,BM,BM12,infer
1712864299,True,success,2.62,446273378.4615384,466501632.0,686944256,0,/experiments/comparison/deepinfer/1/BM8/implications.csv,deepinfer,trustbench,BM,BM8,infer
1712864301,True,success,2.62,447563933.5384616,467652608.0,689250304,0,/experiments/comparison/deepinfer/1/BM9/implications.csv,deepinfer,trustbench,BM,BM9,infer
1712864304,True,success,2.82,404244187.4285714,455460864.0,666398720,0,/experiments/comparison/deepinfer/1/BM4/implications.csv,deepinfer,trustbench,BM,BM4,infer
1712864307,True,success,2.61,444939342.7692308,464998400.0,684347392,0,/experiments/comparison/deepinfer/1/BM1/implications.csv,deepinfer,trustbench,BM,BM1,infer
1712864309,True,success,2.61,443802545.2307692,466952192.0,679559168,0,/experiments/comparison/deepinfer/1/BM6/implications.csv,deepinfer,trustbench,BM,BM6,infer
1712864312,True,success,2.62,447839310.7692308,468021248.0,688390144,0,/experiments/comparison/deepinfer/1/BM10/implications.csv,deepinfer,trustbench,BM,BM10,infer
1712864315,True,success,2.61,444547072.0,464343040.0,684179456,0,/experiments/comparison/deepinfer/1/GC3/implications.csv,deepinfer,trustbench,GC,GC3,infer
1712864317,True,success,2.61,447215458.4615384,467771392.0,685346816,0,/experiments/comparison/deepinfer/1/GC5/implications.csv,deepinfer,trustbench,GC,GC5,infer
1712864320,True,success,2.62,444636553.84615386,465580032.0,681213952,0,/experiments/comparison/deepinfer/1/GC6/implications.csv,deepinfer,trustbench,GC,GC6,infer
1712864323,True,success,2.82,461204333.7142857,475879424.0,687824896,0,/experiments/comparison/deepinfer/1/GC4/implications.csv,deepinfer,trustbench,GC,GC4,infer
1712864325,True,success,2.62,443431069.5384616,466087936.0,678617088,0,/experiments/comparison/deepinfer/1/GC9/implications.csv,deepinfer,trustbench,GC,GC9,infer
1712864328,True,success,2.62,428375433.84615386,464912384.0,639041536,0,/experiments/comparison/deepinfer/1/GC1/implications.csv,deepinfer,trustbench,GC,GC1,infer
1712864331,True,success,2.62,427320556.3076923,465424384.0,636252160,0,/experiments/comparison/deepinfer/1/GC7/implications.csv,deepinfer,trustbench,GC,GC7,infer
1712864333,True,success,2.62,446073934.7692308,468217856.0,681881600,0,/experiments/comparison/deepinfer/1/GC2/implications.csv,deepinfer,trustbench,GC,GC2,infer
1712864336,True,success,2.61,446683923.6923077,464637952.0,688988160,0,/experiments/comparison/deepinfer/1/GC8/implications.csv,deepinfer,trustbench,GC,GC8,infer
1712864339,True,success,2.62,440622473.84615386,459911168.0,677822464,0,/experiments/comparison/deepinfer/1/HP4/implications.csv,deepinfer,trustbench,HP,HP4,infer
1712864341,True,success,2.62,442854793.84615386,468914176.0,672718848,0,/experiments/comparison/deepinfer/1/HP3/implications.csv,deepinfer,trustbench,HP,HP3,infer
1712864344,True,success,2.62,445837312.0,468860928.0,681414656,0,/experiments/comparison/deepinfer/1/HP2/implications.csv,deepinfer,trustbench,HP,HP2,infer
1712864347,True,success,2.62,442151857.2307692,462950400.0,680460288,0,/experiments/comparison/deepinfer/1/HP1/implications.csv,deepinfer,trustbench,HP,HP1,infer
1712864349,True,success,2.82,462412653.7142857,474013696.0,684666880,0,/experiments/comparison/deepinfer/1/PD2/implications.csv,deepinfer,trustbench,PD,PD2,infer
1712864352,True,success,2.62,443179008.0,463474688.0,681627648,0,/experiments/comparison/deepinfer/1/PD1/implications.csv,deepinfer,trustbench,PD,PD1,infer
1712864355,True,success,2.62,442286080.0,464310272.0,677224448,0,/experiments/comparison/deepinfer/1/PD4/implications.csv,deepinfer,trustbench,PD,PD4,infer
1712864357,True,success,2.62,440247217.2307692,462610432.0,675946496,0,/experiments/comparison/deepinfer/1/PD3/implications.csv,deepinfer,trustbench,PD,PD3,infer
1712864360,True,success,29.01,11273412721.77778,10872641536.0,30562799616,0,/experiments/comparison/deepinfer/1/CIFAR10/implications.csv,deepinfer,trustbench,CIFAR10,CIFAR10,infer
1712864390,True,success,10.66,746174734.490566,654827520.0,3857063936,0,/experiments/comparison/selfchecker/1/BM7/pred_labels_valid.npy,selfchecker,trustbench,BM,BM7,analyze
1712864401,True,success,7.24,755006919.1111112,752504832.0,4040695808,0,/experiments/comparison/selfchecker/1/BM2/pred_labels_valid.npy,selfchecker,trustbench,BM,BM2,analyze
1712864408,True,success,6.43,829897216.0,723269632.0,4684353536,0,/experiments/comparison/selfchecker/1/BM11/pred_labels_valid.npy,selfchecker,trustbench,BM,BM11,analyze
1712864415,True,success,9.05,1053206118.4,574697472.0,3998629888,0,/experiments/comparison/selfchecker/1/BM3/pred_labels_valid.npy,selfchecker,trustbench,BM,BM3,analyze
1712864424,True,success,6.23,747050281.2903225,742494208.0,3977179136,0,/experiments/comparison/selfchecker/1/BM5/pred_labels_valid.npy,selfchecker,trustbench,BM,BM5,analyze
1712864430,True,success,8.45,939978556.9523808,753698816.0,4678705152,0,/experiments/comparison/selfchecker/1/BM12/pred_labels_valid.npy,selfchecker,trustbench,BM,BM12,analyze
1712864439,True,success,12.26,822131191.6065574,692060160.0,4647153664,0,/experiments/comparison/selfchecker/1/BM8/pred_labels_valid.npy,selfchecker,trustbench,BM,BM8,analyze
1712864451,True,success,6.64,941350787.878788,668545024.0,4382638080,0,/experiments/comparison/selfchecker/1/BM9/pred_labels_valid.npy,selfchecker,trustbench,BM,BM9,analyze
1712864458,True,success,20.9,828226166.1538461,796049408.0,3901767680,0,/experiments/comparison/selfchecker/1/BM4/pred_labels_valid.npy,selfchecker,trustbench,BM,BM4,analyze
1712864479,True,success,8.45,783379699.8095238,685281280.0,4274597888,0,/experiments/comparison/selfchecker/1/BM1/pred_labels_valid.npy,selfchecker,trustbench,BM,BM1,analyze
1712864487,True,success,5.84,848128776.8275862,649732096.0,4160258048,0,/experiments/comparison/selfchecker/1/BM6/pred_labels_valid.npy,selfchecker,trustbench,BM,BM6,analyze
1712864493,True,success,6.44,801263488.0,698685440.0,4527030272,0,/experiments/comparison/selfchecker/1/BM10/pred_labels_valid.npy,selfchecker,trustbench,BM,BM10,analyze
1712864499,True,success,3.22,909922304.0,571348992.0,4147965952,0,/experiments/comparison/selfchecker/1/GC3/pred_labels_valid.npy,selfchecker,trustbench,GC,GC3,analyze
1712864503,True,success,3.83,1089196247.5789473,617299968.0,4363665408,0,/experiments/comparison/selfchecker/1/GC5/pred_labels_valid.npy,selfchecker,trustbench,GC,GC5,analyze
1712864506,True,success,3.62,885260743.1111112,603906048.0,4021223424,0,/experiments/comparison/selfchecker/1/GC6/pred_labels_valid.npy,selfchecker,trustbench,GC,GC6,analyze
1712864510,True,success,3.42,977383905.882353,590528512.0,4727713792,0,/experiments/comparison/selfchecker/1/GC4/pred_labels_valid.npy,selfchecker,trustbench,GC,GC4,analyze
1712864514,True,success,3.62,771696184.8888888,576907264.0,4053790720,0,/experiments/comparison/selfchecker/1/GC9/pred_labels_valid.npy,selfchecker,trustbench,GC,GC9,analyze
1712864517,True,success,3.42,778924032.0,559083520.0,4051791872,0,/experiments/comparison/selfchecker/1/GC1/pred_labels_valid.npy,selfchecker,trustbench,GC,GC1,analyze
1712864521,True,success,3.43,776196096.0,585756672.0,3880304640,0,/experiments/comparison/selfchecker/1/GC7/pred_labels_valid.npy,selfchecker,trustbench,GC,GC7,analyze
1712864524,True,success,3.62,868059818.6666666,583768064.0,4085071872,0,/experiments/comparison/selfchecker/1/GC2/pred_labels_valid.npy,selfchecker,trustbench,GC,GC2,analyze
1712864528,True,success,3.42,879635516.2352941,594739200.0,4032864256,0,/experiments/comparison/selfchecker/1/GC8/pred_labels_valid.npy,selfchecker,trustbench,GC,GC8,analyze
1712864531,True,success,3.62,870666012.4444444,592543744.0,4520308736,0,/experiments/comparison/selfchecker/1/HP4/pred_labels_valid.npy,selfchecker,trustbench,HP,HP4,analyze
1712864535,True,success,3.42,776811218.8235294,592936960.0,4066902016,0,/experiments/comparison/selfchecker/1/HP3/pred_labels_valid.npy,selfchecker,trustbench,HP,HP3,analyze
1712864538,True,success,3.42,940055130.3529412,594518016.0,4421263360,0,/experiments/comparison/selfchecker/1/HP2/pred_labels_valid.npy,selfchecker,trustbench,HP,HP2,analyze
1712864542,True,success,3.42,714827414.5882353,583618560.0,4058554368,0,/experiments/comparison/selfchecker/1/HP1/pred_labels_valid.npy,selfchecker,trustbench,HP,HP1,analyze
1712864545,True,success,3.42,734047533.1764706,594812928.0,3806146560,0,/experiments/comparison/selfchecker/1/PD2/pred_labels_valid.npy,selfchecker,trustbench,PD,PD2,analyze
1712864549,True,success,3.63,819456000.0,604024832.0,3977142272,0,/experiments/comparison/selfchecker/1/PD1/pred_labels_valid.npy,selfchecker,trustbench,PD,PD1,analyze
1712864552,True,success,3.63,815283541.3333334,605679616.0,4501061632,0,/experiments/comparison/selfchecker/1/PD4/pred_labels_valid.npy,selfchecker,trustbench,PD,PD4,analyze
1712864556,True,success,3.42,888388909.1764706,599928832.0,4083777536,0,/experiments/comparison/selfchecker/1/PD3/pred_labels_valid.npy,selfchecker,trustbench,PD,PD3,analyze
1712864559,True,success,1930.52,5456505042.949124,5434220544.0,42856779776,0,/experiments/comparison/selfchecker/1/CIFAR10/pred_labels_valid.npy,selfchecker,trustbench,CIFAR10,CIFAR10,analyze
1712866492,True,success,5.23,794398089.8461539,665677824.0,4173156352,0,/experiments/comparison/selfchecker/1/BM7/performance.json,selfchecker,trustbench,BM,BM7,infer
1712866497,True,success,4.03,744953856.0,639340544.0,4645081088,0,/experiments/comparison/selfchecker/1/BM2/performance.json,selfchecker,trustbench,BM,BM2,infer
1712866501,True,success,3.82,654032896.0,576589824.0,3750219776,0,/experiments/comparison/selfchecker/1/BM11/performance.json,selfchecker,trustbench,BM,BM11,infer
1712866505,True,success,4.23,693290910.4761904,647303168.0,4127395840,0,/experiments/comparison/selfchecker/1/BM3/performance.json,selfchecker,trustbench,BM,BM3,infer
1712866509,True,success,3.83,668118393.2631578,570470400.0,3951828992,0,/experiments/comparison/selfchecker/1/BM5/performance.json,selfchecker,trustbench,BM,BM5,infer
1712866513,True,success,4.23,647862174.4761904,610267136.0,3594108928,0,/experiments/comparison/selfchecker/1/BM12/performance.json,selfchecker,trustbench,BM,BM12,infer
1712866517,True,success,5.03,639841894.4,615464960.0,3501608960,0,/experiments/comparison/selfchecker/1/BM8/performance.json,selfchecker,trustbench,BM,BM8,infer
1712866522,True,success,4.03,705994547.2,618584064.0,3953897472,0,/experiments/comparison/selfchecker/1/BM9/performance.json,selfchecker,trustbench,BM,BM9,infer
1712866526,True,success,6.84,720107760.9411764,629129216.0,3682910208,0,/experiments/comparison/selfchecker/1/BM4/performance.json,selfchecker,trustbench,BM,BM4,infer
1712866533,True,success,4.43,706968669.0909091,628563968.0,3915501568,0,/experiments/comparison/selfchecker/1/BM1/performance.json,selfchecker,trustbench,BM,BM1,infer
1712866538,True,success,3.62,728469731.5555556,598945792.0,4600799232,0,/experiments/comparison/selfchecker/1/BM6/performance.json,selfchecker,trustbench,BM,BM6,infer
1712866541,True,success,4.02,616603033.6,587833344.0,3582566400,0,/experiments/comparison/selfchecker/1/BM10/performance.json,selfchecker,trustbench,BM,BM10,infer
1712866545,True,success,3.02,663203020.8,569446400.0,3596509184,0,/experiments/comparison/selfchecker/1/GC3/performance.json,selfchecker,trustbench,GC,GC3,infer
1712866548,True,success,3.22,748957696.0,588564480.0,4588826624,0,/experiments/comparison/selfchecker/1/GC5/performance.json,selfchecker,trustbench,GC,GC5,infer
1712866552,True,success,3.22,715859456.0,585588736.0,4044967936,0,/experiments/comparison/selfchecker/1/GC6/performance.json,selfchecker,trustbench,GC,GC6,infer
1712866555,True,success,3.22,693092352.0,586096640.0,3984994304,0,/experiments/comparison/selfchecker/1/GC4/performance.json,selfchecker,trustbench,GC,GC4,infer
1712866558,True,success,3.22,673110016.0,534353920.0,3938463744,0,/experiments/comparison/selfchecker/1/GC9/performance.json,selfchecker,trustbench,GC,GC9,infer
1712866561,True,success,3.22,599582976.0,481751040.0,3526692864,0,/experiments/comparison/selfchecker/1/GC1/performance.json,selfchecker,trustbench,GC,GC1,infer
1712866565,True,success,3.22,722751744.0,578959360.0,4267610112,0,/experiments/comparison/selfchecker/1/GC7/performance.json,selfchecker,trustbench,GC,GC7,infer
1712866568,True,success,3.42,675746755.7647059,570671104.0,4312915968,0,/experiments/comparison/selfchecker/1/GC2/performance.json,selfchecker,trustbench,GC,GC2,infer
1712866571,True,success,3.22,619151360.0,507832320.0,3568529408,0,/experiments/comparison/selfchecker/1/GC8/performance.json,selfchecker,trustbench,GC,GC8,infer
1712866575,True,success,3.22,701443584.0,514658304.0,4648742912,0,/experiments/comparison/selfchecker/1/HP4/performance.json,selfchecker,trustbench,HP,HP4,infer
1712866578,True,success,3.22,671102720.0,581255168.0,3735023616,0,/experiments/comparison/selfchecker/1/HP3/performance.json,selfchecker,trustbench,HP,HP3,infer
1712866581,True,success,3.02,667761595.7333333,551051264.0,3737325568,0,/experiments/comparison/selfchecker/1/HP2/performance.json,selfchecker,trustbench,HP,HP2,infer
1712866584,True,success,3.22,688670464.0,581494784.0,3958472704,0,/experiments/comparison/selfchecker/1/HP1/performance.json,selfchecker,trustbench,HP,HP1,infer
1712866587,True,success,3.22,649054976.0,507398144.0,4012711936,0,/experiments/comparison/selfchecker/1/PD2/performance.json,selfchecker,trustbench,PD,PD2,infer
1712866591,True,success,3.22,615579392.0,514940928.0,3488825344,0,/experiments/comparison/selfchecker/1/PD1/performance.json,selfchecker,trustbench,PD,PD1,infer
1712866594,True,success,3.02,705389090.1333333,547635200.0,4249833472,0,/experiments/comparison/selfchecker/1/PD4/performance.json,selfchecker,trustbench,PD,PD4,infer
1712866597,True,success,3.22,655337216.0,529649664.0,4012851200,0,/experiments/comparison/selfchecker/1/PD3/performance.json,selfchecker,trustbench,PD,PD3,infer
1712866600,True,success,1352.59,2780443207.4011016,2828353536.0,7721189376,0,/experiments/comparison/selfchecker/1/CIFAR10/performance.json,selfchecker,trustbench,CIFAR10,CIFAR10,infer
